26 May 2007   7:26:59.476 AM                                                    
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "f1_d2_level2_x.txt".
  Quadrature rule W file = "f1_d2_level2_w.txt".
  Quadrature rule R file = "f1_d2_level2_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        2
  Number of points  =       17
 
          Error          Degree  Exponents
 
        0.0000000000000000    0     0 0
 
        0.0000000000000000    1     1 0
        0.0000000000000000    1     0 1
 
        0.0000000000000002    2     2 0
        0.0000000000000002    2     1 1
        0.0000000000000000    2     0 2
 
        0.0000000000000000    3     3 0
        0.0000000000000002    3     2 1
        0.0000000000000000    3     1 2
        0.0000000000000001    3     0 3
 
        0.0000000000000001    4     4 0
        0.0000000000000000    4     3 1
        0.0209845157232940    4     2 2
        0.0000000000000000    4     1 3
        0.0000000000000001    4     0 4
 
        0.0000000000000003    5     5 0
        0.0000000000000001    5     4 1
        0.0419690314465879    5     3 2
        0.0419690314465877    5     2 3
        0.0000000000000001    5     1 4
        0.0000000000000002    5     0 5
 
        0.0000000000000002    6     6 0
        0.0000000000000002    6     5 1
        0.0575126333474832    6     4 2
        0.0839380628931757    6     3 3
        0.0575126333474832    6     2 4
        0.0000000000000002    6     1 5
        0.0000000000000000    6     0 6
 
        0.0000000000000002    7     7 0
        0.0000000000000002    7     6 1
        0.0676153214259801    7     5 2
        0.1150252666949666    7     4 3
        0.1150252666949665    7     3 4
        0.0676153214259801    7     2 5
        0.0000000000000000    7     1 6
        0.0000000000000002    7     0 7
 
        0.0000122070312503    8     8 0
        0.0000000000000000    8     7 1
        0.0740672940926775    8     6 2
        0.1352306428519603    8     5 3
        0.1576231693500647    8     4 4
        0.1352306428519603    8     3 5
        0.0740672940926775    8     2 6
        0.0000000000000002    8     1 7
        0.0000122070312500    8     0 8
 
        0.0000610351562496    9     9 0
        0.0000122070312500    9     8 1
        0.0786587497581740    9     7 2
        0.1481345881853550    9     6 3
        0.1853063413127773    9     5 4
        0.1853063413127773    9     4 5
        0.1481345881853549    9     3 6
        0.0786587497581740    9     2 7
        0.0000122070312500    9     1 8
        0.0000610351562498    9     0 9
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
26 May 2007   7:26:59.557 AM                                                    
