26 May 2007   7:27:16.515 AM                                                    
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "nco_d2_level2_x.txt".
  Quadrature rule W file = "nco_d2_level2_w.txt".
  Quadrature rule R file = "nco_d2_level2_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        2
  Number of points  =       17
 
          Error          Degree  Exponents
 
        0.0000000000000080    0     0 0
 
        0.0000000000000053    1     1 0
        0.0000000000000069    1     0 1
 
        0.0000000000000036    2     2 0
        0.0000000000000051    2     1 1
        0.0000000000000044    2     0 2
 
        0.0000000000000020    3     3 0
        0.0000000000000051    3     2 1
        0.0000000000000038    3     1 2
        0.0000000000000044    3     0 3
 
        0.0000000000000031    4     4 0
        0.0000000000000040    4     3 1
        0.0000000000000029    4     2 2
        0.0000000000000058    4     1 3
        0.0000000000000049    4     0 4
 
        0.0000000000000044    5     5 0
        0.0000000000000038    5     4 1
        0.0000000000000036    5     3 2
        0.0000000000000038    5     2 3
        0.0000000000000036    5     1 4
        0.0000000000000040    5     0 5
 
        0.0000000000000029    6     6 0
        0.0000000000000038    6     5 1
        0.0091145833333304    6     4 2
        0.0000000000000031    6     3 3
        0.0091145833333292    6     2 4
        0.0000000000000031    6     1 5
        0.0000000000000027    6     0 6
 
        0.0000000000000022    7     7 0
        0.0000000000000029    7     6 1
        0.0273437499999973    7     5 2
        0.0182291666666652    7     4 3
        0.0182291666666651    7     3 4
        0.0273437499999967    7     2 5
        0.0000000000000024    7     1 6
        0.0000000000000022    7     0 7
 
        0.0007545471191387    8     8 0
        0.0000000000000022    8     7 1
        0.0511881510416646    8     6 2
        0.0546874999999981    8     5 3
        0.0488009982638873    8     4 4
        0.0546874999999984    8     3 5
        0.0511881510416644    8     2 6
        0.0000000000000027    8     1 7
        0.0007545471191384    8     0 8
 
        0.0037727355957012    9     9 0
        0.0007545471191385    9     8 1
        0.0771484374999980    9     7 2
        0.1023763020833318    9     6 3
        0.1008300781249986    9     5 4
        0.1008300781249989    9     4 5
        0.1023763020833315    9     3 6
        0.0771484374999983    9     2 7
        0.0007545471191384    9     1 8
        0.0037727355957015    9     0 9
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
26 May 2007   7:27:16.615 AM                                                    
